Hatcheries ,Assay Type,Larval Species Tested,Water Type,Filtered/Unfiltered ,Treatment,Sample_ID,Replicate,Alive,Dead,% Mortality,Mortality,Control Average Mort,Control Average Mort  Percent,Percent Viability + Control Mortality,,Date of Assay,Note,,,,,,,,,,,,,,,,,,,Incoming Water 0.22um filter,Incoming Water 10um filter,Incoming Water Unfiltered,Tank Water 0.22um filter,Tank Water Unfiltered,Shed Water 0.22um filter,Shed Water 10um filter,Shed Water Unfiltered,,,,,,,,
RRD-R1,Acute,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,RRD-R1 Acute Shed Water Unfiltered,3,108,1,1%,1,1,1%,100,,2024-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R1,Acute,Crassostrea virginica,Shed Water,0.22um filter,Shed Water 0.22um filter,RRD-R1 Acute Shed Water 0.22um filter,1,100,0,0%,0,1,1%,101,,2024-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R1,Acute,Crassostrea virginica,Shed Water,0.22um filter,Shed Water 0.22um filter,RRD-R1 Acute Shed Water 0.22um filter,2,100,2,2%,2,1,1%,99,,2024-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R1,Acute,Crassostrea virginica,Shed Water,0.22um filter,Shed Water 0.22um filter,RRD-R1 Acute Shed Water 0.22um filter,3,100,0,0%,0,1,1%,101,,2024-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V7H-R1,Acute,Mercenaria mercenaria,Tank Water,Unfiltered,Tank Water Unfiltered,V7H-R1 Acute Tank Water Unfiltered,1,98,4,4%,4,3,3%,99,,2024-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V7H-R1,Acute,Mercenaria mercenaria,Tank Water,Unfiltered,Tank Water Unfiltered,V7H-R1 Acute Tank Water Unfiltered,2,53,3,5%,5,3,3%,98,,2024-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V7H-R1,Acute,Mercenaria mercenaria,Tank Water,Unfiltered,Tank Water Unfiltered,V7H-R1 Acute Tank Water Unfiltered,3,81,8,9%,9,3,3%,94,,2024-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V7H-R1,Acute,Mercenaria mercenaria,Tank Water,0.22um filter,Tank Water 0.22um filter,V7H-R1 Acute Tank Water 0.22um filter,1,64,43,40%,40,3,3%,63,,2024-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V7H-R1,Acute,Mercenaria mercenaria,Tank Water,0.22um filter,Tank Water 0.22um filter,V7H-R1 Acute Tank Water 0.22um filter,2,54,79,59%,59,3,3%,44,,2024-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V7H-R1,Acute,Mercenaria mercenaria,Tank Water,0.22um filter,Tank Water 0.22um filter,V7H-R1 Acute Tank Water 0.22um filter,3,63,71,53%,53,3,3%,50,,2024-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V7H-R1,Acute,Mercenaria mercenaria,Incoming Water,Unfiltered,Incoming Water Unfiltered,V7H-R1 Acute Incoming Water Unfiltered,1,55,23,29%,29,3,3%,74,,2024-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V7H-R1,Acute,Mercenaria mercenaria,Incoming Water,Unfiltered,Incoming Water Unfiltered,V7H-R1 Acute Incoming Water Unfiltered,2,46,6,12%,12,3,3%,92,,2024-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V7H-R1,Acute,Mercenaria mercenaria,Incoming Water,Unfiltered,Incoming Water Unfiltered,V7H-R1 Acute Incoming Water Unfiltered,3,42,15,26%,26,3,3%,77,,2024-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V7H-R1,Acute,Mercenaria mercenaria,Incoming Water,0.22um filter,Incoming Water 0.22um filter,V7H-R1 Acute Incoming Water 0.22um filter,1,44,15,25%,25,3,3%,78,,2024-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V7H-R1,Acute,Mercenaria mercenaria,Incoming Water,0.22um filter,Incoming Water 0.22um filter,V7H-R1 Acute Incoming Water 0.22um filter,2,58,20,26%,26,3,3%,78,,2024-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V7H-R1,Acute,Mercenaria mercenaria,Incoming Water,0.22um filter,Incoming Water 0.22um filter,V7H-R1 Acute Incoming Water 0.22um filter,3,45,21,32%,32,3,3%,72,,2024-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V7H-R1,Acute,Mercenaria mercenaria,Shed Water,Unfiltered,Shed Water Unfiltered,V7H-R1 Acute Shed Water Unfiltered,1,97,11,10%,10,3,3%,93,,2024-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V7H-R1,Acute,Mercenaria mercenaria,Shed Water,Unfiltered,Shed Water Unfiltered,V7H-R1 Acute Shed Water Unfiltered,2,97,18,16%,16,3,3%,88,,2024-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V7H-R1,Acute,Mercenaria mercenaria,Shed Water,Unfiltered,Shed Water Unfiltered,V7H-R1 Acute Shed Water Unfiltered,3,112,22,16%,16,3,3%,87,,2024-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V7H-R1,Acute,Mercenaria mercenaria,Shed Water,0.22um filter,Shed Water 0.22um filter,V7H-R1 Acute Shed Water 0.22um filter,1,95,11,10%,10,3,3%,93,,2024-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V7H-R1,Acute,Mercenaria mercenaria,Shed Water,0.22um filter,Shed Water 0.22um filter,V7H-R1 Acute Shed Water 0.22um filter,2,102,14,12%,12,3,3%,91,,2024-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V7H-R1,Acute,Mercenaria mercenaria,Shed Water,0.22um filter,Shed Water 0.22um filter,V7H-R1 Acute Shed Water 0.22um filter,3,87,11,11%,11,3,3%,92,,2024-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXH-R1,Acute,Mercenaria mercenaria,Tank Water,Unfiltered,Tank Water Unfiltered,XXH-R1 Acute Tank Water Unfiltered,1,66,7,10%,10,3,3%,94,,2024-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXH-R1,Acute,Mercenaria mercenaria,Tank Water,Unfiltered,Tank Water Unfiltered,XXH-R1 Acute Tank Water Unfiltered,2,131,20,13%,13,3,3%,90,,2024-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXH-R1,Acute,Mercenaria mercenaria,Tank Water,Unfiltered,Tank Water Unfiltered,XXH-R1 Acute Tank Water Unfiltered,3,67,10,13%,13,3,3%,90,,2024-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXH-R1,Acute,Mercenaria mercenaria,Tank Water,0.22um filter,Tank Water 0.22um filter,XXH-R1 Acute Tank Water 0.22um filter,1,84,12,13%,13,3,3%,91,,2024-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXH-R1,Acute,Mercenaria mercenaria,Tank Water,0.22um filter,Tank Water 0.22um filter,XXH-R1 Acute Tank Water 0.22um filter,2,72,14,16%,16,3,3%,87,,2024-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXH-R1,Acute,Mercenaria mercenaria,Tank Water,0.22um filter,Tank Water 0.22um filter,XXH-R1 Acute Tank Water 0.22um filter,3,89,16,15%,15,3,3%,88,,2024-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXH-R1,Acute,Mercenaria mercenaria,Incoming Water,Unfiltered,Incoming Water Unfiltered,XXH-R1 Acute Incoming Water Unfiltered,1,85,19,18%,18,3,3%,85,,2024-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXH-R1,Acute,Mercenaria mercenaria,Incoming Water,Unfiltered,Incoming Water Unfiltered,XXH-R1 Acute Incoming Water Unfiltered,2,97,14,13%,13,3,3%,91,,2024-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXH-R1,Acute,Mercenaria mercenaria,Incoming Water,Unfiltered,Incoming Water Unfiltered,XXH-R1 Acute Incoming Water Unfiltered,3,76,13,15%,15,3,3%,89,,2024-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXH-R1,Acute,Mercenaria mercenaria,Incoming Water,0.22um filter,Incoming Water 0.22um filter,XXH-R1 Acute Incoming Water 0.22um filter,1,80,19,19%,19,3,3%,84,,2024-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXH-R1,Acute,Mercenaria mercenaria,Incoming Water,0.22um filter,Incoming Water 0.22um filter,XXH-R1 Acute Incoming Water 0.22um filter,2,95,10,10%,10,3,3%,94,,2024-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXH-R1,Acute,Mercenaria mercenaria,Incoming Water,0.22um filter,Incoming Water 0.22um filter,XXH-R1 Acute Incoming Water 0.22um filter,3,74,9,11%,11,3,3%,93,,2024-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXH-R1,Acute,Mercenaria mercenaria,Shed Water,Unfiltered,Shed Water Unfiltered,XXH-R1 Acute Shed Water Unfiltered,1,65,17,21%,21,3,3%,83,,2024-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXH-R1,Acute,Mercenaria mercenaria,Shed Water,Unfiltered,Shed Water Unfiltered,XXH-R1 Acute Shed Water Unfiltered,2,91,19,17%,17,3,3%,86,,2024-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXH-R1,Acute,Mercenaria mercenaria,Shed Water,Unfiltered,Shed Water Unfiltered,XXH-R1 Acute Shed Water Unfiltered,3,74,12,14%,14,3,3%,89,,2024-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXH-R1,Acute,Mercenaria mercenaria,Shed Water,0.22um filter,Shed Water 0.22um filter,XXH-R1 Acute Shed Water 0.22um filter,1,85,9,10%,10,3,3%,94,,2024-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXH-R1,Acute,Mercenaria mercenaria,Shed Water,0.22um filter,Shed Water 0.22um filter,XXH-R1 Acute Shed Water 0.22um filter,2,74,8,10%,10,3,3%,94,,2024-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXH-R1,Acute,Mercenaria mercenaria,Shed Water,0.22um filter,Shed Water 0.22um filter,XXH-R1 Acute Shed Water 0.22um filter,3,94,15,14%,14,3,3%,90,,2024-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R3,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,RRD-R3 Acute Tank Water Unfiltered,1,98,2,2%,2,0,0%,98,,2025-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R3,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,RRD-R3 Acute Tank Water Unfiltered,2,97,1,1%,1,0,0%,99,,2025-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R3,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,RRD-R3 Acute Tank Water Unfiltered,3,97,1,1%,1,0,0%,99,,2025-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R3,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,RRD-R3 Acute Tank Water 0.22um filter,1,100,0,0%,0,0,0%,100,,2025-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R3,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,RRD-R3 Acute Tank Water 0.22um filter,2,100,0,0%,0,0,0%,100,,2025-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R3,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,RRD-R3 Acute Tank Water 0.22um filter,3,100,0,0%,0,0,0%,100,,2025-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R3,Acute,Crassostrea virginica,Incoming Water,Unfiltered,Incoming Water Unfiltered,RRD-R3 Acute Incoming Water Unfiltered,1,100,0,0%,0,0,0%,100,,2025-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R3,Acute,Crassostrea virginica,Incoming Water,Unfiltered,Incoming Water Unfiltered,RRD-R3 Acute Incoming Water Unfiltered,2,100,0,0%,0,0,0%,100,,2025-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R3,Acute,Crassostrea virginica,Incoming Water,Unfiltered,Incoming Water Unfiltered,RRD-R3 Acute Incoming Water Unfiltered,3,100,0,0%,0,0,0%,100,,2025-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R3,Acute,Crassostrea virginica,Incoming Water,0.22um filter,Incoming Water 0.22um filter,RRD-R3 Acute Incoming Water 0.22um filter,1,100,0,0%,0,0,0%,100,,2025-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R3,Acute,Crassostrea virginica,Incoming Water,0.22um filter,Incoming Water 0.22um filter,RRD-R3 Acute Incoming Water 0.22um filter,2,100,0,0%,0,0,0%,100,,2025-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD-R3,Acute,Crassostrea virginica,Incoming Water,0.22um filter,Incoming Water 0.22um filter,RRD-R3 Acute Incoming Water 0.22um filter,3,100,0,0%,0,0,0%,100,,2025-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FNT-R1,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,FNT-R1 Acute Tank Water Unfiltered,1,110,3,3%,3,1,1%,98,,2025-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FNT-R1,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,FNT-R1 Acute Tank Water Unfiltered,2,89,6,6%,6,1,1%,95,,2025-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FNT-R1,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,FNT-R1 Acute Tank Water Unfiltered,3,105,8,7%,7,1,1%,94,,2025-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FNT-R1,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,FNT-R1 Acute Tank Water 0.22um filter,1,75,8,10%,10,1,1%,91,,2025-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FNT-R1,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,FNT-R1 Acute Tank Water 0.22um filter,2,78,4,5%,5,1,1%,96,,2025-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FNT-R1,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,FNT-R1 Acute Tank Water 0.22um filter,3,80,4,5%,5,1,1%,96,,2025-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FNT-R1,Acute,Crassostrea virginica,Tank Water,10um filter,Tank Water 10um filter,FNT-R1 Acute Tank Water 10um filter,1,90,3,3%,3,1,1%,98,,2025-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FNT-R1,Acute,Crassostrea virginica,Tank Water,10um filter,Tank Water 10um filter,FNT-R1 Acute Tank Water 10um filter,2,71,0,0%,0,1,1%,101,,2025-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FNT-R1,Acute,Crassostrea virginica,Tank Water,10um filter,Tank Water 10um filter,FNT-R1 Acute Tank Water 10um filter,3,106,4,4%,4,1,1%,97,,2025-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FNT-R1,Acute,Crassostrea virginica,Incoming Water,Unfiltered,Incoming Water Unfiltered,FNT-R1 Acute Incoming Water Unfiltered,1,102,1,1%,1,1,1%,100,,2025-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FNT-R1,Acute,Crassostrea virginica,Incoming Water,Unfiltered,Incoming Water Unfiltered,FNT-R1 Acute Incoming Water Unfiltered,2,92,9,9%,9,1,1%,92,,2025-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FNT-R1,Acute,Crassostrea virginica,Incoming Water,Unfiltered,Incoming Water Unfiltered,FNT-R1 Acute Incoming Water Unfiltered,3,96,4,4%,4,1,1%,97,,2025-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FNT-R1,Acute,Crassostrea virginica,Incoming Water,0.22um filter,Incoming Water 0.22um filter,FNT-R1 Acute Incoming Water 0.22um filter,1,101,1,1%,1,1,1%,100,,2025-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FNT-R1,Acute,Crassostrea virginica,Incoming Water,0.22um filter,Incoming Water 0.22um filter,FNT-R1 Acute Incoming Water 0.22um filter,2,93,10,10%,10,1,1%,91,,2025-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FNT-R1,Acute,Crassostrea virginica,Incoming Water,0.22um filter,Incoming Water 0.22um filter,FNT-R1 Acute Incoming Water 0.22um filter,3,104,7,6%,6,1,1%,95,,2025-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FNT-R1,Acute,Crassostrea virginica,Incoming Water,10um filter,Incoming Water 10um filter,FNT-R1 Acute Incoming Water 10um filter,1,98,2,2%,2,1,1%,99,,2025-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FNT-R1,Acute,Crassostrea virginica,Incoming Water,10um filter,Incoming Water 10um filter,FNT-R1 Acute Incoming Water 10um filter,2,107,9,8%,8,1,1%,93,,2025-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FNT-R1,Acute,Crassostrea virginica,Incoming Water,10um filter,Incoming Water 10um filter,FNT-R1 Acute Incoming Water 10um filter,3,88,5,5%,5,1,1%,96,,2025-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FNT-R1,Acute,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,FNT-R1 Acute Shed Water Unfiltered,1,104,1,1%,1,1,1%,100,,2025-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FNT-R1,Acute,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,FNT-R1 Acute Shed Water Unfiltered,2,88,3,3%,3,1,1%,98,,2025-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FNT-R1,Acute,Crassostrea virginica,Shed Water,Unfiltered,Shed Water Unfiltered,FNT-R1 Acute Shed Water Unfiltered,3,98,3,3%,3,1,1%,98,,2025-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FNT-R1,Acute,Crassostrea virginica,Shed Water,0.22um filter,Shed Water 0.22um filter,FNT-R1 Acute Shed Water 0.22um filter,1,101,4,4%,4,1,1%,97,,2025-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FNT-R1,Acute,Crassostrea virginica,Shed Water,0.22um filter,Shed Water 0.22um filter,FNT-R1 Acute Shed Water 0.22um filter,2,102,2,2%,2,1,1%,99,,2025-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FNT-R1,Acute,Crassostrea virginica,Shed Water,0.22um filter,Shed Water 0.22um filter,FNT-R1 Acute Shed Water 0.22um filter,3,112,6,5%,5,1,1%,96,,2025-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FNT-R1,Acute,Crassostrea virginica,Shed Water,10um filter,Shed Water 10um filter,FNT-R1 Acute Shed Water 10um filter,1,126,6,5%,5,1,1%,96,,2025-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FNT-R1,Acute,Crassostrea virginica,Shed Water,10um filter,Shed Water 10um filter,FNT-R1 Acute Shed Water 10um filter,2,114,3,3%,3,1,1%,98,,2025-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FNT-R1,Acute,Crassostrea virginica,Shed Water,10um filter,Shed Water 10um filter,FNT-R1 Acute Shed Water 10um filter,3,106,3,3%,3,1,1%,98,,2025-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R3,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,S3W-R3 Acute Tank Water Unfiltered,1,100,0,0%,0,0,0%,100,,2025-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R3,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,S3W-R3 Acute Tank Water Unfiltered,2,100,0,0%,0,0,0%,100,,2025-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R3,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,S3W-R3 Acute Tank Water Unfiltered,3,100,0,0%,0,0,0%,100,,2025-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R3,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,S3W-R3 Acute Tank Water 0.22um filter,1,100,0,0%,0,0,0%,100,,2025-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R3,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,S3W-R3 Acute Tank Water 0.22um filter,2,100,0,0%,0,0,0%,100,,2025-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R3,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,S3W-R3 Acute Tank Water 0.22um filter,3,100,0,0%,0,0,0%,100,,2025-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R3,Acute,Crassostrea virginica,Tank Water,10um filter,Tank Water 10um filter,S3W-R3 Acute Tank Water 10um filter,1,100,0,0%,0,0,0%,100,,2025-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R3,Acute,Crassostrea virginica,Tank Water,10um filter,Tank Water 10um filter,S3W-R3 Acute Tank Water 10um filter,2,100,0,0%,0,0,0%,100,,2025-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3W-R3,Acute,Crassostrea virginica,Tank Water,10um filter,Tank Water 10um filter,S3W-R3 Acute Tank Water 10um filter,3,100,0,0%,0,0,0%,100,,2025-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGX-R2,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,AGX-R2 Acute Tank Water Unfiltered,1,124,3,2%,2,0,0%,98,,2025-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGX-R2,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,AGX-R2 Acute Tank Water Unfiltered,2,114,2,2%,2,0,0%,98,,2025-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGX-R2,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,AGX-R2 Acute Tank Water Unfiltered,3,130,1,1%,1,0,0%,99,,2025-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGX-R2,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,AGX-R2 Acute Tank Water 0.22um filter,1,148,9,6%,6,0,0%,94,,2025-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGX-R2,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,AGX-R2 Acute Tank Water 0.22um filter,2,107,4,4%,4,0,0%,96,,2025-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGX-R2,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,AGX-R2 Acute Tank Water 0.22um filter,3,129,3,2%,2,0,0%,98,,2025-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGX-R2,Acute,Crassostrea virginica,Tank Water,10um filter,Tank Water 10um filter,AGX-R2 Acute Tank Water 10um filter,1,97,0,0%,0,0,0%,100,,2025-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGX-R2,Acute,Crassostrea virginica,Tank Water,10um filter,Tank Water 10um filter,AGX-R2 Acute Tank Water 10um filter,2,136,7,5%,5,0,0%,95,,2025-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGX-R2,Acute,Crassostrea virginica,Tank Water,10um filter,Tank Water 10um filter,AGX-R2 Acute Tank Water 10um filter,3,104,5,5%,5,0,0%,95,,2025-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGX-R2,Acute,Crassostrea virginica,Incoming Water,Unfiltered,Incoming Water Unfiltered,AGX-R2 Acute Incoming Water Unfiltered,1,122,0,0%,0,0,0%,100,,2025-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGX-R2,Acute,Crassostrea virginica,Incoming Water,Unfiltered,Incoming Water Unfiltered,AGX-R2 Acute Incoming Water Unfiltered,2,105,2,2%,2,0,0%,98,,2025-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGX-R2,Acute,Crassostrea virginica,Incoming Water,Unfiltered,Incoming Water Unfiltered,AGX-R2 Acute Incoming Water Unfiltered,3,145,6,4%,4,0,0%,96,,2025-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGX-R2,Acute,Crassostrea virginica,Incoming Water,0.22um filter,Incoming Water 0.22um filter,AGX-R2 Acute Incoming Water 0.22um filter,1,170,0,0%,0,0,0%,100,,2025-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGX-R2,Acute,Crassostrea virginica,Incoming Water,0.22um filter,Incoming Water 0.22um filter,AGX-R2 Acute Incoming Water 0.22um filter,2,128,2,2%,2,0,0%,98,,2025-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGX-R2,Acute,Crassostrea virginica,Incoming Water,0.22um filter,Incoming Water 0.22um filter,AGX-R2 Acute Incoming Water 0.22um filter,3,132,1,1%,1,0,0%,99,,2025-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGX-R2,Acute,Crassostrea virginica,Incoming Water,10um filter,Incoming Water 10um filter,AGX-R2 Acute Incoming Water 10um filter,1,101,4,4%,4,0,0%,96,,2025-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGX-R2,Acute,Crassostrea virginica,Incoming Water,10um filter,Incoming Water 10um filter,AGX-R2 Acute Incoming Water 10um filter,2,115,3,3%,3,0,0%,97,,2025-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
